Cluster,Instruction,ACTION,QUANTITY,UNIT,INGREDIENT,TOOL,TEMPERATURE,STATE,GARNISH
5,Pour the mixture and the coconut rum into a blender and blend on low for 1 minute,pour | blend,1,minute,coconut rum,blender,,,
3,"In an ice filled glass shake together tequila, triple sec, dark chocolate liqueur, half and half and chocolate syrup",shake,,,half and half | tequila | triple | sec | ice,glass,,,chocolate syrup
4,"Pour 3 cl of cloudberry liqueur, 1 cl of aquavit, a dash of lime juice, and 2 cl of lemonade into the glass",pour,3 | 1 | 2,cl | dash,lime juice | lemonade | aquavit,glass,,,
5,Strain the mixture into a chilled collins glass,strain,,,,collins glass,chilled,,
2,"Place blueberries, lime juice, sugar, and mint leaves into a cocktail shaker",place,,,mint leaves | lime juice | sugar,shaker,,,
2,"Combine both in a saucepan with 2 cinnamon sticks, 3 star anise bulbs, 1 liter of water and 5 cups of water",combine,2 | 3 | 1 | 5,cups | liter,cinnamon | water,saucepan,,,star anise
2,"Pour the Scotch whisky, sweet vermouth, and Benedictine into a cocktail shaker half-filled with ice cubes",pour,,cubes,sweet vermouth | whisky | scotch | benedictine | ice,shaker,,,
4,Add ice and shake briefly,add | shake,,,ice,,,,
1,Measure the volume of the liquid and add equal parts and,add | measure,,parts,,,,,
1,Garnish with a piece of red velvet cake,,,piece,,,,,
2,"Top with wine, then add dashes of bitters",add | top,,dashes,wine,,,,
1,Add all ingredients to a cocktail shaker along with some cubed ice Shake vigorously until chilled Double strain into a coupe and garnish with a floated star anise,add | shake | strain | double strain,,,ice,shaker,chilled,,star anise
2,Bring pan off the stove and add 12.5g sour plums in the liquid,add,12.5,,,pan,,,
4,Shake with ice and strain into cocktail glass,shake | strain,,,ice,cocktail glass,,,
4,Pour first five ingredients into cocktail shaker over ice and shake well,pour | shake,,,ice,shaker,,,
3,Build the tequila and then the orange juice in a tall ice-filled glass,build,,,orange juice | tequila | ice,glass,,,
5,"In an ice-filled old-fashioned glass, pour 2 ounces coffee liqueur",pour,2,ounces,coffee liqueur | ice,glass,,,
1,Charge with Carbon Monoxide and chill on Ice,,,,ice,,,,
1,"Fill a cocktail shaker with ice, Gordon's London Dry, Lemon Juice and Sugar Syrup",fill,,,lemon juice | sugar syrup | ice,shaker,,,
5,"Serve immediately and enjoy the zesty, sparkling flavors",serve,,,,,,,
5,Add ice and blend for 20-30 seconds or until smooth,add | blend,20 | 30,seconds,ice,,,,
3,"Rinse blender and add ice, 1 oz white rum, blue curaçao, pineapple juice and cream of coconut",add | rinse,1,oz,pineapple juice | white rum | coconut | cream | ice,blender,,,
5,Stir until the outside of the glass feels very cold,stir,,,,glass,cold,,
1,Rim edge of glass lightly with blue sugar,rim,,,sugar,glass,,,
3,"Next, place in a freezer for 30 minutes to allow the fats in the miso to congeal",place,30,minutes,,,,,
0,"In a punch bowl or other large container, combine the orange juice concentrate, whiskey and lemon-lime soda",combine,,,orange juice | whiskey | lemon | lime,punch bowl | container,,,
0,Sprinkle with sprinkles,,,,,,,,
1,"Pour tequila, triple sec, lime juice, agave nectar, and jalapeño into the shaker",pour,,,agave nectar | lime juice | tequila | jalapeño | triple | sec,shaker,,,
0,"Serve the Martini right away and enjoy its crisp, refined flavors",serve,,,,,,,
5,"Refrigerate several hours, until thoroughly chilled",refrigerate,,hours,,,chilled,,
1,Add the remaining ingredients except the Soda and shake with ice,add | shake,,,ice,,,,
3,Garnish with a slice of lemon and a cherry for an extra touch of elegance,,,slice,lemon,,,,cherry
2,Infuse at room temperature for at least 48 hours,infuse,48,hours,,,room temperature | room temp,,
2,Gently stir the drink to combine the flavors and serve immediately,stir | combine | serve | gently stir,,,,,,,
1,Add the banana liqueur as well as the margarita mix; finish by adding the garnish of a lime slice,add | mix,,slice,banana liqueur | lime,,,,
3,Garnish with a lime wedge and a paper umbrella,,,,,,,,lime wedge
0,Top up with the tomato soda,top,,,tomato,,,,
2,"Slowly pour the energy soda into the glass, allowing it to mix naturally with the vodka",pour | mix | slowly pour,,,vodka,glass,,,
4,"To rim the glass with sugar, pour a small amount of grenadine onto a small plate",pour | rim,,,sugar | grenadine,glass | plate,,,
0,Top with prosecco and stir gently,stir | top,,,prosecco,,,,
1,"Blitz until runny and smooth, then add this mixture to the first container of ingredients, stirring to combine",add | combine,,,,container,,,
3,Remove marshmallows lollipops from glass and shake off any excess vodka,shake,,,vodka,glass,,,
4,"Pour coconut-flavored rum, vodka, cranberry juice, and orange juice over ice; cover and shake",pour | shake,,,cranberry juice | orange juice | vodka | rum | coconut | ice,,,,
0,Gently layer Heavy cream on top,top | layer,,,heavy cream,,,,
1,Serves 6.,,6,,,,,,
5,Fill the glass with ice cubes to keep the cocktail chilled,fill,,cubes,ice,glass,chilled,,
5,Allow the vodka to sit over the ice for one full minute,,,minute,vodka | ice,,,,
3,Top off the drink with 3 oz of lemon-lime soda,top | top off,3,oz,lemon | lime,,,,
2,Serve immediately and enjoy the refreshing citrus blend of the Bolduc On The Beach,blend | serve,,,,,,,
1,Add Haku Vodka and top with chilled soda water,add | top,,,soda water | vodka,,chilled,,
0,Gather ingredients.Wet the rim of a cocktail glass with lime wedge; set lime wedge aside for garnish.Place celery salt in a small dish; press the rim of the glass into salt to coat,place | rim | coat | press,,,lime | salt,cocktail glass | glass | press | dish,,,celery
1,"Briefly dry shake without ice, then add a few small ice cubes and shake until the ice has melted",add | shake | dry shake,,cubes,ice,,,melted,
4,Top off the glass with 3 oz cream,top | top off,3,oz,cream,glass,,,
1,Add all ingredients to a shaker with ice and shake until chilled,add | shake,,,ice,shaker,chilled,,
1,"Strain through an oil filter, being careful not to disturb the curds when filtering",strain | filter,,,,,,,
5,Cook the mixture down until consistency is achieved,,,,,,,,
2,Shake all ingredients and strain over cube ice into a rocks glass,shake | strain,,cube,ice,rocks glass,,,
0,Serve with a straw but do not stir before serving,stir | serve,,serving,,,,,
3,Pour prosecco into a chilled shot glass and serve alongside the martini,pour | serve,,shot,prosecco,shot glass,hot | chilled,,
5,"Enjoy your Citronade immediately, savoring the zesty, refreshing flavors",,,,,,,,
0,Whisk with a milk frother   and set aside,whisk | set aside,,,milk,whisk,,,
1,"Let cool, 15 to 30 minutes.Strain syrup through a fine-mesh sieve; discard solids",strain | cool,15 | 30,minutes,syrup,,,,
0,Pour the rum and juice mixture over the ice-filled glasses,pour,,,rum | ice,glasses,,,
3,Add 35ml Gordon’s Pink to a Highball/Copa glass full of ice Top with tonic water Stir to mix Garnish and serve,add | stir | mix | serve | top,35,,tonic water | ice,glass,,,
2,Top off the drink with 3 oz of club soda,top | top off,3,oz,club soda,,,,
3,Strain the contents of the cocktail shaker into the glass and add the olive,add | strain,,,,glass | shaker,,,olive
3,Add all of the ingredients to a shaker,add,,,,shaker,,,
3,Add equal parts of orange juice  and club soda to the glass,add,,parts,orange juice | club soda,glass,,,
3,Finish with a mint sprig,finish with,,,,,,,mint sprig
0,Blend the mixture for about 30 seconds or until smooth,blend,30,seconds,,,,,
3,"Pour in gin, lime juice, and sugar",pour,,,lime juice | gin | sugar,,,,
0,"Double strain into a chilled cocktail or coupe glass and garnish with a grape on a pick, or sliced and placed on the edge of the glass",strain | double strain,,,,coupe glass | glass,chilled,iced,
1,"In a blender, combine the orange liqueur, dark rum, almond liqueur, apple juice, grapefruit juice, and grenadine syrup with a glassful of crushed ice",combine,,,grapefruit juice | grenadine syrup | orange liqueur | almond liqueur | apple juice | dark rum | ice,blender,,crushed,
0,"In a cocktail shaker half-filled with ice cubes, combine 1 oz cherry brandy, 1 oz almond liqueur, 1 oz Irish cream, and a splash of lemonade",combine | splash,1,oz | splash | cubes,almond liqueur | irish cream | brandy | lemonade | ice,shaker,,,cherry
5,Garnish with orange wedge,,,,,,,,orange wedge
1,Pour the shaken mixture over the crushed ice,pour,,,ice,,,crushed,
5,Add all the ingredients to a blender and blend until smooth,add | blend,,,,blender,,,
3,Serve with straw and spoon,serve,,,,spoon,,,
4,Garnish each glass with 1 lime wedge and a celery stalk,,1,,,glass,,,lime wedge | celery
5,The taste? Sweet like candy although the bitter lemon saves it from being undrinkable to my superior and evolved taste buds,taste,,,lemon,,,,candy
3,Shake with ice and strain into an ice-filled glass,shake | strain,,,ice,glass,,,
1,Garnish with a Mint Sprig,,,,,,,,mint sprig
1,"To create top layer, once again add gelatin to hot water and leave to bloom before adding irish cream",add | top | layer,,,irish cream | water,,hot,,
0,Pour 1 oz vodka over the crushed ice,pour,1,oz,vodka | ice,,,crushed,
0,Pour gin and yuzu-shu over the ice,pour,,,gin | yuzu | ice,,,,
1,"Add ice, green apple, strawberries, pineapple, 1/2 oz",add,1/2,oz,pineapple | apple | ice,,,,
5,Garnish with wheel or wedge of lime,,,wheel,lime,,,,
2,Rim edge of margarita glass with salt and pour mix inside,pour | mix | rim,,,salt,margarita glass,,,
0,Rosemary Syrup: Place 6 large sprigs of rosemary in a heat-proof quart container,place | heat,6,quart,syrup,container,,,rosemary
3,When cool combine with food coloring and add to liqueur liquid,add | combine | cool,,,,,,,
3,Add tequila and pour into shot glass mold and refrigerate,add | pour | refrigerate,,shot,tequila,shot glass,hot,,
1,Stir the Licor 43 in mixing glass with handful of ice,stir,43,handful,ice,glass,,,
0,"Combine hot water with gelatin, stirring and allowing to cool",combine | cool,,,water,,hot,,
1,Add ice to the glass and stir again to chill the cocktail,add | stir,,,ice,glass,,,
0,Stir the mixture well and pour into a suitable glass,pour | stir,,,,glass,,,
1,Cover the bowl with plastic wrap and leave overnight,,,,,bowl,,,
4,Add all of the ingredients to a shaker with 3 ice cubes and shake to chill,add | shake,3,cubes,ice,shaker,,,
3,Put aside about 15ml of your Jello mixture into a shot glass then add 1 drop of food colouring  and top with 15ml of water,add | top | drop,15 | 1,drop | shot,water,shot glass,hot,,
4,"If the first pass doesn’t give you a crystal-clear liquid, pass it through a coffee filter again to remove finer particles",filter,,,coffee,,,,
3,Paprika Oil: Mix 1 tsp. paprika with 1 cup virgin olive oil,mix,1,cup | tsp,paprika,cup,,,olive
0,Test again and go longer if you want a stronger flavor,,,,,,,,
1,"Add the gin, lemon juice, lime juice,simple syrup, heavy cream, orange flower water, and egg white to cocktail shaker without ice",add,,,simple syrup | lemon juice | heavy cream | lime juice | egg white | gin | orange | ice | water,shaker,,,flower
1,"For a more pronounced flavor, whole spices can be “bruised” by pressing with your fingers, or the flat of a knife before adding.Pour in gin",pour,,,gin,knife,,,
3,"Gently muddle lime juice with 8 mint leaves in a shaker using a wooden spoon or cocktail muddler.Add rum, simple syrup, bitters, and a handful of ice",add | muddle,8,handful,simple syrup | mint leaves | lime juice | rum | ice,shaker | muddler | spoon,,,
5,"In an iced filled glass combine white rum, pineapple juice, fresh lime juice and grenadine",combine,,,pineapple juice | lime juice | white rum | grenadine,glass,,iced,
4,Add tequila and rye whiskey,add,,,rye whiskey | tequila,,,,
5,Shake the mixture vigorously to chill and combine the flavors,shake | combine,,,,,,,
2,Fill a tall glass with ice cubes to keep your drink perfectly chilled,fill,,cubes,ice,glass,chilled,,
3,Garnish with a mint sprig and cinnamon powder,,,,cinnamon,,,,mint sprig
1,Shake well and strain into your cocktail glass,shake | strain,,,,cocktail glass,,,
5,"Pour over vodka, raspberry lemonade and squirt soda",pour,,,vodka | lemonade,,,,raspberry
1,"Add a single, large piece of ice  and top with lemon-lime soda",add | top,,piece,lemon | lime | ice,,,,
1,Using scissors or a small knife roughly cut the shapes of the continents out of lime peel,cut,,,,knife,,,lime peel
5,Freeze until slushy and ready to serve,serve | freeze,,,,,,,
5,"Bring to a boil over medium-high heat, remove from the heat, cover, and allow to cool slightly before transferring it to an infusion jar  with a tight lid",heat | cool | boil,,,,jar,,,
5,"The mixed berries provide a vibrant color and fruity flavor, while the coconut water adds a refreshing twist",,,,coconut water,,,,
4,Strain the mixture into an old-fashioned glass half-filled with broken ice,strain,,,ice,glass,,,
1,Shake all ingredients well with ice,shake,,,ice,,,,
3,Blend until smooth and pour into a tall glass,pour | blend,,,,glass,,,
1,Add Oreo cookie crumbs to the top of the drink,add | top,,,,,,,
5,"Add both to the bottom of a pitcher, sprinkle with sugar and stir",add | stir,,,sugar,pitcher,,,
0,Strained into a chilled coupe or cocktail glass,,,,,cocktail glass,chilled,strained,
1,Float the white crème de cacao on top of the grenadine by slowly pouring it over the back of a bar spoon,top | float | slowly pour,,bar spoon,grenadine,bar spoon,,,
2,"Stir and top with soda, then garnish",stir | top,,,,,,,
0,Let it chill for 20 minutes,,20,minutes,,,,,
5,Add the bitters and grate fresh nutmeg over the punch bowl,add | grate,,,,punch bowl,,,nutmeg
2,Enjoy this bold and fruity delight!,,,,,,,,
4,"In a glass filled with ice, combine 1 part almond liqueur, 1 part herbal liqueur, 1 part coffee liqueur, and 2.5 parts milk",combine,1 | 2.5,part,coffee liqueur | almond liqueur | herbal liqueur | milk | ice,glass,,,
4,Shake well to chill the drink,shake,,,,,,,
5,Fill another shot glass with kraken rum,fill,,shot,rum,shot glass,hot,,
5,Don’t add any ice,add,,,ice,,,,
2,Strain the mixture into a frosted glass,strain,,,,glass,,frosted,
4,Do not wash the pan,,,,,pan,,,
5,"In a shaker or mixing glass, combine 1 oz white rum, 2 oz cola, and 2 oz lime juice",combine,1 | 2,oz,lime juice | white rum | cola,glass | shaker,,,
2,Line a large sieve with four layers of cheesecloth so that the cloth is hanging over the edges,,,,,,,,
5,Strain into chilled glass,strain,,,,glass,chilled,,
5,"Add more pebble ice, creating a mound on the top",add | top,,,ice,,,,
2,"In an old-fashioned glass filled with ice, add the vodka, triple sec, and grenadine syrup",add,,,grenadine syrup | vodka | triple | sec | ice,glass,,,
1,Drop into saucepan,drop,,drop,,saucepan,,,
0,"Add ice, 1 1/4 oz citrus vodka, 3/4 oz bitters, and 3 oz sour mix to the muddled lemon and sugar",add | mix,1 1/4 | 3/4 | 3,oz,citrus vodka | lemon | sugar | ice,,,muddled,
0,Float vodka on top of the grenadine syrup,top | float,,,grenadine syrup | vodka,,,,
1,Dissolve 1 tsp of sugar in 3 oz of club soda in an old-fashioned glass,dissolve,1 | 3,oz | tsp,club soda | sugar,glass,,,
3,"Add ube, eucalyptus and coconut water ice cubes, to a Collins glass",add,,cubes,coconut water | ice,collins glass,,,
4,Add 1 oz of blue curacao,add,1,oz,blue curacao,,,,
3,Serve with a short straw,serve,,,,,,,
1,Refrigerate until solid,refrigerate,,,,,,,
2,Cut limes in half lengthwise and remove flesh,cut,,,,,,,
4,Funnel the raspberry liqueur into two 16-ounce  bottles,,16,ounce,,,,,raspberry
1,Pour in 0.5 oz of vodka and 0.5 oz of gin,pour,0.5,oz,vodka | gin,,,,
5,"In an ice filled glass combine vodka, st germain, lime juice and lemonade",combine,,,st germain | lime juice | vodka | lemonade | ice,glass,,,
1,Add ice cubes to a mason jar or large glass,add,,cubes,ice,mason jar | glass,,,
3,Dust smoked paprika over the top,top,,,paprika,,,,
5,Add Frangelico and chocolate liqueur once it has cooled a little,add,,,chocolate liqueur | frangelico,,cooled,,
1,"In a cocktail shaker, add 60 mL brandy, 30 mL simple syrup, and a whole egg",add,60 | 30,ml,simple syrup | brandy | egg,shaker,,,
0,Garnish with a slice of lime,,,slice,lime,,,,
0,Place a large block of ice in a punch bowl and add the vodka mixture,add | place,,,vodka | ice,punch bowl,,,
5,Garnish glass with lime slice,,,slice,lime,glass,,,
0,"Add ice, frozen berries, vodka, cointreau, agave, lime juice and dry red wine to blender",add,,,lime juice | red wine | vodka | cointreau | agave | ice,blender,,frozen,
4,"Serve immediately and enjoy the rich, complex flavors of the Gold Mine Cocktail",serve,,,,,,,
0,"Serve the Elephant Lips cocktail right away and enjoy its rich, fruity flavors",serve,,,,,,,
4,"Then you are ready to shake - or stir - as you please: In shaker over ice pour lemon juice, Maraschino, orange curacao and brandy",pour | shake | stir,,,orange curacao | lemon juice | brandy | maraschino | ice,shaker,,,
1,Line 1/8 of the rim of a rocks glass with salt,rim,1/8,,salt,rocks glass,,,
0,Create stencil and apply to glass,,,,,glass,,,
1,"Place ice into a glass, and strain in the liquid",strain | place,,,ice,glass,,,
2,Pour jello shot mixture into small cup and place in refrigerator to set,pour | place,,cup | shot,,cup,hot,,
1,Remove shot glass and drink to serve,serve,,shot,,shot glass,hot,,
4,"Bring to a boil over medium heat, then reduce the heat to a simmer and cook, stirring occasionally, until all the sugar is dissolved, about 5 minutes",heat | boil | simmer | reduce,5,minutes,sugar,,,dissolved,
2,Serve immediately and enjoy the beautiful layers and rich flavors,serve,,,,,,,
3,Shake all ingredients  with ice and strain into an ice-filled tall glass,shake | strain,,,ice,glass,,,
1,Add raspberry vodka and top with pink champagne,add | top,,,vodka | champagne,,,,raspberry
3,Refrigerate to harden and remove once firm,refrigerate,,,,,,,
3,Shake vigorously until the mixture is creamy,shake,,,,,,,
2,"Add the reposado tequila, chocomole mixture and agave syrup into a shaker with ice and shake until well-chilled",add | shake,,,reposado tequila | agave syrup | ice,shaker,chilled,,
1,Indulge in the fruity and refreshing taste of your Cool Breeze Fru-Fru Cocktail!,taste | cool,,,,,,,
1,Rim a martini glass with corn syrup and graham cracker crumbs,rim,,,syrup,martini glass,,,
3,"Short shake, then strain over pebble ice in a Collins glass",shake | strain,,,ice,collins glass,,,
1,"Serve warm, garnished with a lemon slice if desired",serve,,slice,lemon,,warm,,
3,Shake all the liquid ingredients with ice Strain into an ice-filled Rocks Glass Garnish with Basil Leaves,shake | strain,,,ice,rocks glass,,,basil
1,Scoop two large scoops of vanilla ice-cream into frosted beer mug,,,scoop,vanilla | cream | ice | beer,mug,,frosted,
3,Agitate periodically for 30 mins,,30,,,,,,
1,Hot water bath method: Place chocolate and cream in a metal bowl,place,,,chocolate | cream | water,bowl,hot,,
3,"Add the brown sugar and cream and continue cooking, stirring occasionally, until the sugar is fully dissolved",add,,,sugar | cream,,,dissolved,
1,"In a cocktail shaker , muddle the lemon wedges and almond syrup until all of the juices are extracted",muddle,,,lemon | almond | syrup,shaker,,,
0,Garnish with jalapeño and grapefruit segments,,,,jalapeño | grapefruit,,,,
3,"Cut a notch in a lemon wedge, then run the lemon around the rim of a cocktail glass",rim | cut,,,,cocktail glass,,,lemon wedge
3,Add sweet & sour mix to the top of the ice,add | mix | top,,,ice,,,,
0,Garnish with nopales and edible glitter,,,,,,,,
3,"Serve immediately and enjoy the vibrant, fruity flavors",serve,,,,,,,
5,Drink will glow under blacklight,,,,,,,,
1,Shake with ice and strain into a chilled cocktail or coupé glass and garnish with a lemon wedge or wheel,shake | strain,,wheel,ice,glass,chilled,,lemon wedge
1,"Serve immediately and enjoy the rich, warm flavors of your Coffee Keokee Cocktail!",serve,,,coffee,,warm,,
5,"Start by beating the cream in a separate bowl or cup until thickened, while you brew the coffee",separate,,cup,coffee | cream,cup | bowl,,,
3,"Add the egg white to your tin, along with the spring from a Hawthorn strainer, and shake without ice until you’ve got a light meringue",add | shake | light,,,egg white | ice,strainer,,,
1,"In a Collins glass, combine the grenadine and lemon wheel and muddle until the oils from the citrus are released into the syrup",combine | muddle,,wheel,grenadine | syrup,collins glass,,,lemon wheel
1,"In the serving glass, stir together the rum and maple syrup",stir,,serving,maple syrup | rum,glass,,,
5,Garnish with a slice of orange,,,slice,orange,,,,
4,"Combine all ingredients, stir with ice, and strain into a chilled glass",strain | stir | combine,,,ice,glass,chilled,,
0,"Add a short straw, mint and a splash of demerara rum",add | splash,,splash,rum | demerara,,,,
1,Adjust the proportions to achieve your preferred strength,,,,,,,,
5,Add ice to glass and pour over dark rum,add | pour,,,dark rum | ice,glass,,,
2,Stir all ingredients together in a highball glass filled with ice,stir,,,ice,highball glass,,,
1,Add a dash of grenadine and float on a layer of dark rum,add | float | layer,,dash,dark rum | grenadine,,,,
3,Add the Woodford Reserve into a mixing glass and fill the rest of the mixing glass with ice,add | fill | rest,,,ice,glass,,,
1,"Sprinkle a tiny dash of grated nutmeg on top, if you have it",top,,dash,,,,grated,nutmeg
1,"Add the sake and fill glass with crushed ice, then stir to combine",add | stir | combine | fill,,,sake | ice,glass,,crushed,
2,Rim a cocktail glass with lemon juice and powdered sugar,rim,,,lemon juice | sugar,cocktail glass,,,
5,Sort skittles by flavor,,,,,,,,
4,Float the Irish cream liqueur on top,top | float,,,cream liqueur,,,,
2,Pour over rum cream,pour,,,rum | cream,,,,
2,"Add 1 oz Triple Sec, 1.5 oz citrus vodka, a splash of cranberry juice, a splash of citrus soda, and a splash of lemonade to the glass",add | splash,1 | 1.5,oz | splash,cranberry juice | citrus vodka | lemonade | triple | sec,glass,,,
1,Slowly pour 1/8 oz cherry brandy in a circular motion onto the whipped cream,pour | slowly pour,1/8,oz,brandy,,,whipped,whipped cream | cherry
3,Garnish with a wedge or twist of lime,,,,lime,,,,
2,"In a large pitcher, combine Rosé, orange liqueur, and Brandy",combine,,,orange liqueur | brandy,pitcher,,,
2,Fill a hurricane glass halfway with ice,fill,,,ice,hurricane glass,,,
3,Rim edge of glass in lemon juice and sugar,rim,,,lemon juice | sugar,glass,,,
5,Add a twist of lemon peel for garnish and serve immediately,add | serve,,,lemon,,,,
0,Muddle the mint leaves to release their oils and ensure the honey combines and softens with the other ingredients,muddle,,,mint leaves | honey,,,,
1,Garnish with a maraschino cherry for an extra touch of elegance,,,,,,,,maraschino cherry
2,Add a cherry to the drink for a touch of sweetness,add,,,,,,,cherry
4,Stir with bar spoon to make sure ingredients are mixed properly,stir,,bar spoon,,bar spoon,,,
1,Add 2 oz soda water to the glass,add,2,oz,soda water,glass,,,
0,Fill a chilled copper mug  with ice,fill,,,ice,copper mug,chilled,,
1,Garnish with a Peach Slice and Mint Sprig,,,slice,peach,,,,mint sprig
3,"In a cocktail shaker filled with ice cubes, pour 1 oz vodka, 1/4 oz lemon juice, 2-3 dashes triple sec, and 2-3 dashes blue curacao liqueur",pour,1 | 1/4 | 2 | 3,oz | dashes | cubes,curacao liqueur | lemon juice | vodka | triple | sec | ice,shaker,,,
5,"In a cocktail shaker, muddle 6 mint leaves to release their flavor",muddle,6,,mint leaves,shaker,,,
2,Garnish with a dusting of cocoa powder on top,top,,,cocoa,,,,
1,"As the liquid begins to turn color and the fennel become soft, remove from the heat and cover",heat,,,fennel,,,,
5,"Serve the Drink of the Gods cocktail right away and enjoy its divine, fruity flavors",serve,,,,,,,
2,"In a cocktail shaker filled with ice, add 1 oz of Blue Curaçao Liqueur, 0.5 oz of Tequila, 0.5 oz of Rum, 0.5 oz of Gin, and 0.5 oz of Vodka",add,1 | 0.5,oz,vodka | gin | rum | tequila | ice,shaker,,,
2,Strain the cocktail into a highball glass,strain,,,,highball glass,,,
1,"Add the mint leaves, lime juice and simple syrup into a Collins glass and press the leaves gently with a muddler",add | press,,,simple syrup | mint leaves | lime juice,collins glass | muddler | press,,,
3,Top with grapefruit juice and stir,stir | top,,,grapefruit juice,,,,
1,"Pour champagne into a flute, filling it halfway",pour,,,champagne,,,,
3,Mix scotch and milk,mix,,,scotch | milk,,,,
5,Place three shot glasses in a line on the bar,place,,shot,,glasses,hot,,
1,Add the chilled punch stock and top off with the club soda,add | top | top off,,,club soda,,chilled,,
0,"Remove from heat and add 10 bags of peach tea, let steep for 8 minutes before removing the teabags",add | heat | steep,10 | 8,minutes,peach | tea,,,,
0,"Serve immediately and enjoy the rich, smooth flavors of your Joy-To-The-World cocktail",serve,,,,,,,
3,"Pour 1 oz of white rum, 1 oz of sweet vermouth, 4 dashes of apricot brandy, 2 dashes of grenadine syrup, and 4 dashes of lemon juice into a cocktail shaker half-filled with ice cubes",pour,1 | 4 | 2,oz | dashes | cubes,grenadine syrup | sweet vermouth | lemon juice | white rum | brandy | apricot | ice,shaker,,,
0,"Express an orange peel over the surface of the drink, then discard the peel Garnish with an edible orchid and banana leaf",express,,,orange | banana,,,,orchid
1,"Combine Ingredients: Pour the brandy, orange liqueur, blackberry brandy, gin, lemon juice, and orange juice into a cocktail shaker half-filled with ice cubes",pour | combine,,cubes,orange liqueur | orange juice | lemon juice | gin | brandy | ice,shaker,,,blackberry
1,Garnish with a twist of orange peel or a cherry for an extra touch of elegance,,,,,,,,orange peel | cherry
5,Pour cranberry into glass first filled with ice,pour,,,cranberry | ice,glass,,,
3,Blend and pour over blue layer,pour | blend | layer,,,,,,,
5,Add a chunk of ice to a glass to chill,add,,chunk,ice,glass,,,
2,Seal the jar and shake occasionally,shake,,,,jar,,,
5,Place it in the freezer immediately to allow the chocolate to set up while you make the drink,place,,,chocolate,,,,
3,"Next combine pineapple juice, coconut milk and rum and pour into popsicle mold on top of red layer",pour | combine | top | layer,,,pineapple juice | coconut milk | rum,,,,
1,Shake and strain over crushed ice,shake | strain,,,ice,,,crushed,
5,"In a cocktail shaker, add 3 oz of vodka and 1 oz of white vermouth",add,3 | 1,oz,vodka,shaker,,,
3,Add vodka and vanilla when cold,add,,,vodka | vanilla,,cold,,
1,"Pour 4 oz of hot water into the goblet, mixing well",pour,4,oz,water,goblet,hot,,
0,"In an ice-filled cocktail shaker, combine 1 oz chocolate liqueur, 1 oz white chocolate liqueur, 1 oz Irish cream, 1 oz crème de cacao, 1 oz vodka, and 2 oz half-and-half",combine,1 | 2,oz,chocolate liqueur | half-and-half | irish cream | vodka | ice,shaker,,,
3,"Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass",strain,,,absinthe | ice,glass,,,
1,"Let the mixture soak overnight, covered, then strain the syrup and bottle for use",strain | soak,,,syrup,bottle,,,
1,"When the sugar has dissolved, 3 to 5 minutes, remove the pan from the heat and allow the syrup to cool, about 20 minutes",heat | cool,3 | 5 | 20,minutes,sugar | syrup,pan,,dissolved,
3,"In a cocktail shaker filled with ice, combine 60 ml of brandy and 22.5 ml of herbal liqueur",combine,60 | 22.5,ml,herbal liqueur | brandy | ice,shaker,,,
4,"Pour the rum, banana syrup, lime juice, and bitters into a cocktail shaker , and fill with ice",pour | fill,,,lime juice | rum | banana | ice | syrup,shaker,,,
1,Dust the top with some freshly-grated nutmeg and a slice of fresh peach,top,,slice,peach,,,grated,nutmeg
3,Strain into a double rocks glass with spent lime wedge in it,strain,,,,rocks glass,,,lime wedge
2,Add Johnnie Walker scotch whisky to an ice filled shaker,add,,,whisky | scotch | ice,shaker,,,
3,Serve immediately or refrigerate up to 1 day,serve | refrigerate,1,,,,,,
2,Reduce the oven temperature to 325 degrees F,reduce,325,,,,,,
4,Line the rim of a rocks glass with salt and set aside,rim | set aside,,,salt,rocks glass,,,
0,Fine-strain into a highball glass with cubed ice,strain,,,ice,highball glass,,,
3,Place an orange slice on the rim of the glass,place | rim,,slice,orange,glass,,,
5,Add Prosecco and stir gently,add | stir,,,prosecco,,,,
2,Stir well to combine all the ingredients,stir | combine,,,,,,,
1,"In a small saucepan over medium-low heat, gently warm the almond liquid",heat,,,almond,saucepan,warm,,
3,Pulse the blender briefly,,,,,blender,,,
5,"In a heat-proof mug, muddle the cloves and lemon wedge",muddle | heat,,cloves,cloves,mug,,,lemon wedge
2,"Serve immediately and enjoy the tropical, citrusy flavors of the Blue Hawaiian 2",serve,2,,,,,,
1,Optional: Garnish with lime wedge &/or salt,,,,salt,,,,lime wedge
5,"Pour the heated mixture into the blender, then add 1 oz clamato juice and 1 tsp brown sugar",add | pour,1,oz | tsp,sugar,blender,heated,,
1,"In a mixing glass, add the remaining ingredients and ice, then stir until chilled",add | stir,,,ice,glass,chilled,,
1,"Pour in gin and vermouth, and add a couple shakes of orange bitters",add | pour,,,orange bitters | gin,,,,
0,"Pour in Tequila, Triple sec, Strawberry schnapps, and Sweet & sour",pour,,,tequila | triple | sec,,,,strawberry
2,Top with the pineapple juice and stir,stir | top,,,pineapple juice,,,,
4,Add 2 chopped English cucumbers and 750ml of dry gin to a blender and blend for approximately 2 minutes or until the mixture is well combined,add | blend,2 | 750,minutes,gin,blender,,,
2,Add 8 oz of Coconut rum,add,8,oz,coconut rum,,,,
